,RAW,FREQ,FULL_NAME,ADDRESS,LOC_TYPE,STREET,CITY,STATE,ZIP,COUNTY_SYSTEM,STATUS,
47,EVANSTON HOSPIT,28,NORTHSHORE EVANSTON HOSPITAL,"2650 RIDGE AVE, EVANSTON, IL 60201",HOSPITAL,2650 RIDGE AVE,EVANSTON,IL,60201,,,
50,NORTHWEST COMMU,24,NORTHWEST COMMUNITY HOSPITAL,"800 W CENTRAL RD, ARLINGTON HEIGHTS, IL 60005",HOSPITAL,800 W CENTRAL RD,ARLINGTON HEIGHTS,IL,60005,,,
67,NORTHWEST HOSPI,7,NORTHWEST COMMUNITY HOSPITAL,"800 W CENTRAL ROAD, ARLINGTON HEIGHTS, IL 60005",HOSPITAL,800 W CENTRAL ROAD,ARLINGTON HEIGHTS,IL,60005,,,"Not positive, but seems to be either this or NORTHWESTERN MEMORIAL"
7,NORTHWESTERN ME,478,NORTHWESTERN MEMORIAL HOSPITAL,"251 E HURON ST, CHICAGO, IL 60611",HOSPITAL,251 E HURON ST,CHICAGO,IL,60611,,,
41,NORWEGIAN-AMERI,38,NORWEGIAN AMERICAN HOSPITAL,"1044 N FRANCISCO AVE, CHICAGO, IL 60622",HOSPITAL,1044 N FRANCISCO AVE,CHICAGO,IL,60622,,,Now renamed Humboldt Park Health (Jan 2021)
33,OAK FOREST HOSP,57,OAK FOREST HOSPITAL,"15900 S CICERO AVE, OAK FOREST, IL 60452",HOSPITAL,15900 S CICERO AVE,OAK FOREST,IL,60452,YES,,Now named Blue Island Health Center
27,LITTLE COMPANY,68,OSF LITTLE COMPANY OF MARY MEDICAL CENTER,"2800 W 95TH ST, EVERGREEN PARK, IL 60805",HOSPITAL,2800 W 95TH ST,EVERGREEN PARK,IL,60805,,,
51,OUR LADY OF THE,24,OUR LADY OF THE RESURRECTION HOSPITAL,"5645 W ADDISON ST, CHICAGO, IL 60634",HOSPITAL,5645 W ADDISON ST,CHICAGO,IL,60634,,,Now renamed COMMUNITY FIRST MEDICAL CENTER. (Not completely sure if this is the right 'our lady of the..')
71,PALOS COMMUNITY,6,PALOS HOSPITAL,"12251 S 80TH AVE, PALOS HEIGHTS, IL 60463",HOSPITAL,12251 S 80TH AVE,PALOS HEIGHTS,IL,60463,,,
60,LA GRANGE COMMU,11,PILLARS COMMUNITY HEALTH MEDICAL CENTER,"110 CALENDAR AVE, LA GRANGE, IL 60525",HOSPITAL,110 CALENDAR AVE,LA GRANGE,IL,60525,,,"UNSURE which this is - potentially this one (used to be Community Nurse until merged and became Pillar), or maybe AMITA Health La Grange?"
29,PROVIDENT HOSPI,68,PROVIDENT HOSPITAL OF COOK COUNTY,"500 E 51ST ST, CHICAGO, IL 60615",HOSPITAL,500 E 51ST ST,CHICAGO,IL,60615,YES,,
56,RAVENSWOOD HOSP,16,RAVENSWOOD HOSPITAL,"1931 W WILSON AVE, CHICAGO, IL 60640",HOSPITAL,1931 W WILSON AVE,CHICAGO,IL,60640,,CLOSED,
10,ROSELAND COMMUN,195,ROSELAND COMMUNITY HOSPITAL,"45 W 111TH ST, CHICAGO, IL 60628",HOSPITAL,45 W 111TH ST,CHICAGO,IL,60628,,,
75,RUSH NORTH SHOR,5,RUSH NORTH SHORE HOSPITAL,"9600 GROSS POINT RD, SKOKIE, IL 60076",HOSPITAL,9600 GROSS POINT RD,SKOKIE,IL,60076,,,Renamed SKOKIE HOSPITAL after new ownership in 2009: http://www.ilhealthagents.com/insurance-news/blue-cross-blue-shield/northshore-university-health-system-acquires-rush-north-shore-hospital/
88,OAK PARK HOSPIT,3,RUSH OAK PARK HOSPITAL,"520 S MAPLE AVE, OAK PARK, IL 60304",HOSPITAL,520 S MAPLE AVE,OAK PARK,IL,60304,,,"Think it's RUSH, but could be another hospital located in Oak Park."
57,RUSH PRESBYTERI,15,RUSH PRESBYTERIAN ST. LUKE’S MEDICAL CENTER,"1620 W HARRISON ST, CHICAGO, IL 60612",HOSPITAL,1620 W HARRISON ST,CHICAGO,IL,60612,,,Renamed to RUSH UNIVERSITY MEDICAL CENTER in 2003: https://www.rush.edu/about-us/history
76,SACRED HEART HO,5,SACRED HEART HOSPITAL,"3240 W FRANKLIN BLVD, CHICAGO, IL 60624",HOSPITAL,3240 W FRANKLIN BLVD,CHICAGO,IL,60624,,CLOSED,Closed in 2013: https://www.chicagobusiness.com/article/20130701/NEWS03/130709987/sacred-heart-hospital-closes
16,ST. ANTHONY DE,138,SAINT ANTHONY HOSPITAL,"2875 W 19TH ST, CHICAGO, IL 60623",HOSPITAL,2875 W 19TH ST,CHICAGO,IL,60623,,,May be St Anthony of Padua Parish affilate?
39,SOUTH CHICAGO C,41,SOUTH CHICAGO COMMUNITY HOSPITAL,"2320 E 93RD ST, CHICAGO, IL 60617",HOSPITAL,2320 E 93RD ST,CHICAGO,IL,60617,,CLOSED,Maybe now Advocate Trinity Hospital? Unsure - can't find much info past 1966 murders of 8 nurses and 1991 article: https://www.nwitimes.com/uncategorized/south-chicago-community-hospital-undergoes-15-5-million/article_d4ea62f4-f0b6-54d3-be99-42d188da78ad.html. 
34,SOUTH SHORE HOS,56,SOUTH SHORE HOSPITAL,"8012 S CRANDON AVE, CHICAGO, IL 60617",HOSPITAL,8012 S CRANDON AVE,CHICAGO,IL,60617,,,
38,ST. ANNE'S HOSP,44,ST. ANNE'S HOSPITAL,"4900 W THOMAS ST, CHICAGO, IL 60651",HOSPITAL,4900 W THOMAS ST,CHICAGO,IL,60651,,CLOSED,
12,ST. BERNARD'S H,157,ST. BERNARD HOSPITAL,"326 W 64TH ST, CHICAGO, IL 60621",HOSPITAL,326 W 64TH ST,CHICAGO,IL,60621,,,
18,ST.JAMES HOSPIT,113,ST. JAMES HOSPITAL,"1423 CHICAGO RD, CHICAGO HEIGHTS, IL 60411",HOSPITAL,1423 CHICAGO RD,CHICAGO HEIGHTS,IL,60411,,CLOSED,Also/later known as FRANCISCAN ST JAMES HEALTH
49,SWEDISH COVENAN,25,SWEDISH COVENANT HOSPITAL,"5140 N CALIFORNIA AVE, CHICAGO, IL 60625",HOSPITAL,5140 N CALIFORNIA AVE,CHICAGO,IL,60625,,,Now renamed NORTHSHORE SWEDISH HOSPITAL
11,UNIVERSITY OF C,169,THE UNIVERSITY OF CHICAGO MEDICAL CENTER,"5841 S MARYLAND AVE, CHICAGO, IL 60637",HOSPITAL,5841 S MARYLAND AVE,CHICAGO,IL,60637,,,
85,THOREK HOSPITAL,4,THOREK MEMORIAL HOSPITAL,"850 W IRVING PARK RD, CHICAGO, IL 60613",HOSPITAL,850 W IRVING PARK RD,CHICAGO,IL,60613,,,
25,UNIVERSITY OF I,79,UNIVERSITY OF ILLINOIS HOSPITAL,"1740 W TAYLOR ST, CHICAGO, IL 60612",HOSPITAL,1740 W TAYLOR ST,CHICAGO,IL,60612,,,
55,VENCOR CHICAGO,18,VENCOR HOSPITAL CHICAGO NORTH,"2544 W MONTROSE AVE, CHICAGO, IL 60618",HOSPITAL,2544 W MONTROSE AVE,CHICAGO,IL,60618,,,"Vencor company changed name to Kindred after emerging from bankruptcy in 2001: https://en.wikipedia.org/wiki/Kindred_Healthcare; https://www.bmartin.cc/dissent/documents/health/access_vencor.html.
Not sure whether location 'VENCOR CHICAGO' referrs to the current Kindred Chicago North or Kindred Northlake (which would be address 365 E. North Ave, Melrose Park, IL 60164 - Vencor Northlake comes up as much as/more than Vencor Chicago North). Some links for North: http://www.usa.com/frs/vencor-hospital-chicago-north.html, https://www.wellness.com/dir/2498551/uncategorized/il/chicago/vencor-hosp-chicago-north, http://webapps.sfm.illinois.gov/ustsearch/Facility.aspx?ID=2014488, https://www.bbb.org/search?find_country=USA&find_latlng=41.870171%2C-87.671737&find_loc=Chicago%2C%20IL&find_text=vencor%20hospital&page=1&sort=Relevance&touched=1. Some links for Northlake: https://www.superpages.com/northlake-il/bpp/vencor-hospital-northlake-537341, https://www.bbb.org/us/il/melrose-park/profile/clinic/vencor-hospital-northlake-0654-39003638."
77,WALTER MEMORIAL,5,WALTHER MEMORIAL HOSPITAL,"1116 N KEDZIE AVE, CHICAGO, IL 60651",HOSPITAL,1116 N KEDZIE AVE,CHICAGO,IL,60651,,CLOSED,"Think it's WALTHER, no clear 'WALTER' option. Closed in 1987: https://www.chicagotribune.com/news/ct-xpm-1987-03-22-8701220299-story.html#:~:text=Walther%20Memorial%2C%20which%20filed%20for%20bankruptcy%20protection%20Jan.,is%20the%20first%20to%20file%20for%20bankruptcy%20protection."
30,WEST SUBURBAN H,66,WEST SUBURBAN MEDICAL CENTER,"3 ERIE ST, OAK PARK, IL 60302",HOSPITAL,3 ERIE ST,OAK PARK,IL,60302,,,
53,WESTLAKE COMMUN,21,WESTLAKE COMMUNITY HOSPITAL,"1225 LAKE ST, MELROSE PARK, IL 60160",HOSPITAL,1225 LAKE ST,MELROSE PARK,IL,60160,,CLOSED,"Also named WESTLAKE HOSPITAL, closed in 2019 but temporarily reopened for COVID"
32,SCENE,63,,,SCENE,,,IL,,,,
59,BELMONT HOSPITA,11,,,HOSPITAL,,,,,,,https://www.chicagotribune.com/news/ct-xpm-1992-06-11-9202210846-story.html; http://www.encyclopedia.chicagohistory.org/pages/602.html
61,SUBURBAN MEDICA,11,,,HOSPITAL,,,,,,,"NOT SURE if this is WESTERN SUBURBAN MEDICAL CENTER or if it's one of the SUBURBAN MEDICAL AND WELLNESS CENTER lcoations? Humana Hospital; ST Alexius Medical Center - formerly by Alexian Brothers Health System? Maybe ST Alexius in Hoffman Estates? Michael Reese comes up frequently, but not correct location for the INCIDENT CITIES in the records"
68,SCENE 168 W NOR,7,,"168 W NORTHWEST HWY, PALATINE, IL 60067",SCENE,168 W NORTHWEST HWY,PALATINE,IL,60067,,,"Brown's Chicken Massacre, 1993, at RESTAURANT Brown's Chicken: https://chicago.cbslocal.com/2018/01/08/browns-chicken-massacre-25-years-anniversary/"
79,SCENE 1428 N. K,4,,,,,,,,,,
80,SCENE 3620 S RH,4,,,,,,,,,,
81,SCENE 3912 S WA,4,,,,,,,,,,
82,SCENE 4519 W OG,4,,,,,,,,,,
83,SCENE 7248 S. M,4,,,,,,,,,,
87,FORENSIC INSTIT,3,FORENSIC INSTITUTE,"1957 N SPAULDING AVE, CHICAGO, IL 60647",,1957 N SPAULDING AVE,CHICAGO,IL,60647,,,
89,SCENE 10400 W N,3,,,,,,,,,,
90,SCENE 11439 S.,3,,,,,,,,,,
91,SCENE 11729 S.,3,,,,,,,,,,
92,SCENE 12214 S.,3,,,,,,,,,,
93,SCENE 2203 W. 2,3,,,,,,,,,,
94,SCENE 2811 S. K,3,,,,,,,,,,
95,SCENE 2856 S KI,3,,,,,,,,,,
96,SCENE 3546 W LY,3,,,,,,,,,,
97,SCENE 4865 N. R,3,,,,,,,,,,
98,SCENE 507 EAST,3,,,,,,,,,,
99,SCENE 5708 S. M,3,,,,,,,,,,
100,SCENE 6120 S HE,3,,,,,,,,,,
101,SCENE 6128 S. K,3,,,,,,,,,,
102,SCENE 6602 S WE,3,,,,,,,,,,
103,SCENE 7609 S RH,3,,,,,,,,,,
104,SCENE 7808 S KI,3,,,,,,,,,,
105,SCENE 7908 S LA,3,,,,,,,,,,
106,SCENE 8042 S. M,3,,,,,,,,,,
107,1239 S RACINE,2,,,,,,,,,,
112,INSTITUTE,2,,,HOSPITAL,,,,,,,
115,SCENE   412 E.,2,,,,,,,,,,
116,SCENE 10312 S A,2,,,,,,,,,,
117,SCENE 10440 S A,2,,,,,,,,,,
